V_Inlet,AoA,Drag,Lift,Moment,C_D,C_L,C_M,q_inf
10,0,0.00486238,7.08E-05,2.99E-06,0.012355253,1.80E-04,7.60E-06,0.3935476
10,1,0.0048401,0.00534915,0.000234462,0.012298639,1.36E-02,5.96E-04,0.3935476
10,2,0.00477061,0.0123412,0.000526528,0.012122066,3.14E-02,1.34E-03,0.3935476
10,3,0.00455177,0.0196336,0.000818269,0.011565996,4.99E-02,2.08E-03,0.3935476
10,4,0.00432206,0.0261183,0.00108851,0.010982306,6.64E-02,2.77E-03,0.3935476
10,5,0.00385822,0.0332232,0.00136726,0.009803693,8.44E-02,3.47E-03,0.3935476
50,0,0.0683822,0.0051396,0.00028516,0.006950336,5.22E-04,2.90E-05,9.83869
50,1,0.0671048,0.167029,0.00686452,0.006820502,1.70E-02,6.98E-04,9.83869
50,2,0.0629245,0.330022,0.0135019,0.006395618,3.35E-02,1.37E-03,9.83869
50,3,0.0561798,0.493801,0.0201787,0.005710089,5.02E-02,2.05E-03,9.83869
50,4,0.0472759,0.658562,0.026905,0.004805101,6.69E-02,2.73E-03,9.83869
50,5,0.036386,0.824258,0.0336757,0.003698257,8.38E-02,3.42E-03,9.83869
100,0,0.2408,0.0257634,0.00137915,0.006118701,6.55E-04,3.50E-05,39.35476
100,1,0.235164,0.678723,0.0278675,0.005975491,1.72E-02,7.08E-04,39.35476
100,2,0.218698,1.33473,0.0545318,0.005557091,3.39E-02,1.39E-03,39.35476
100,3,0.191885,1.99486,0.081434,0.004875776,5.07E-02,2.07E-03,39.35476
100,4,0.156483,2.65829,0.108495,0.003976215,6.75E-02,2.76E-03,39.35476
100,5,0.113533,3.32567,0.135789,0.002884861,8.45E-02,3.45E-03,39.35476
150,0,0.567771,0.0510378,0.00279669,0.006411999,5.76E-04,3.16E-05,88.54821
150,1,0.554405,1.58046,0.06471,0.006261053,1.78E-02,7.31E-04,88.54821
150,2,0.515391,3.11883,0.127096,0.005820456,3.52E-02,1.44E-03,88.54821
150,3,0.453322,4.66825,0.190042,0.005119494,5.27E-02,2.15E-03,88.54821
150,4,0.37084,6.22627,0.253459,0.004188001,7.03E-02,2.86E-03,88.54821
150,5,0.270474,7.79174,0.317226,0.003054539,8.80E-02,3.58E-03,88.54821
200,0,0.832314,0.085286,0.00459625,0.005287251,5.42E-04,2.92E-05,157.41904
200,1,0.80828,2.84301,0.115319,0.005134576,1.81E-02,7.33E-04,157.41904
200,2,0.735237,5.60956,0.226637,0.004670572,3.56E-02,1.44E-03,157.41904
200,3,0.619277,8.38541,0.338533,0.00393394,5.33E-02,2.15E-03,157.41904
200,4,0.46771,11.1735,0.451245,0.002971115,7.10E-02,2.87E-03,157.41904
200,5,0.28515,13.9716,0.564585,0.001811407,8.88E-02,3.59E-03,157.41904
250,0,1.86948,0.146697,0.00753341,0.007600524,5.96E-04,3.06E-05,245.96725
250,1,1.81629,5.72307,0.229434,0.007384276,2.33E-02,9.33E-04,245.96725
250,2,1.6548,11.2819,0.45082,0.006727725,4.59E-02,1.83E-03,245.96725
250,3,1.40631,16.8223,0.671445,0.005717468,6.84E-02,2.73E-03,245.96725
250,4,1.07942,22.2974,0.88975,0.00438847,9.07E-02,3.62E-03,245.96725
250,5,0.681236,27.5906,1.10021,0.002769621,1.12E-01,4.47E-03,245.96725
300,0,5.17869,0.281273,0.0146614,0.014621103,7.94E-04,4.14E-05,354.19284
300,1,5.0638,17.1675,0.676858,0.014296732,4.85E-02,1.91E-03,354.19284
300,2,4.77369,34.2016,1.3507,0.013477658,9.66E-02,3.81E-03,354.19284
300,3,4.34883,51.5142,2.04963,0.012278142,1.45E-01,5.79E-03,354.19284
300,4,3.89081,69.0052,2.7806,0.010985005,1.95E-01,7.85E-03,354.19284
300,5,3.48679,86.9006,3.5623,0.009844327,2.45E-01,1.01E-02,354.19284
340,0,6.90395,0.2477,0.0129307,0.015175483,5.44E-04,2.84E-05,454.9410256
340,1,7.21831,35.4244,1.42982,0.015866474,7.79E-02,3.14E-03,454.9410256
340,2,8.49159,74.5535,3.10259,0.018665254,1.64E-01,6.82E-03,454.9410256
340,3,11.148,124.09,5.47723,0.024504275,2.73E-01,1.20E-02,454.9410256
340,4,13.5973,187.346,8.84794,0.02988805,4.12E-01,1.94E-02,454.9410256
340,5,14.3204,253.198,12.3959,0.031477487,5.57E-01,2.72E-02,454.9410256
360,0,5.08712,-0.190594,-0.0132715,0.009974008,-3.74E-04,-2.60E-05,510.0376896
360,1,5.13761,37.9894,1.55936,0.010073001,7.45E-02,3.06E-03,510.0376896
360,2,5.7756,80.9183,3.4148,0.011323869,1.59E-01,6.70E-03,510.0376896
360,3,6.47425,131.92,5.79615,0.01269367,2.59E-01,1.14E-02,510.0376896
360,4,6.47862,186.115,8.42446,0.012702238,3.65E-01,1.65E-02,510.0376896
360,5,5.75165,239.305,10.9964,0.011276912,4.69E-01,2.16E-02,510.0376896
