Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.657962169,0.657962169,0.657962169,0.657962169,0.657962169,0,0,0,0,22.14899856,65.62097248,65.62097248,579890.8
0.02,0,0.614978184,0.614978184,0.614978184,0.614978184,0.614978184,0,0,0,0,22.14899856,65.62097248,65.62097248,1159782
0.03,0,0.579506915,0.579506915,0.579506915,0.579506915,0.579506915,0,0,0,0,22.14899856,65.62097248,65.62097248,1739672
0.04,0,0.552747882,0.552747882,0.552747882,0.552747882,0.552747882,0,0,0,0,22.14899856,65.62097248,65.62097248,2319563
0.05,0,0.531872187,0.531872187,0.531872187,0.531872187,0.531872187,0,0,0,0,22.14899856,65.62097248,65.62097248,2899454
0.06,0,0.51501045,0.51501045,0.51501045,0.51501045,0.51501045,0,0,0,0,22.14899856,65.62097248,65.62097248,3479345
0.07,0,0.501004891,0.501004891,0.501004891,0.501004891,0.501004891,0,0,0,0,22.14899856,65.62097248,65.62097248,4059236
0.08,0,0.489112597,0.489112597,0.489112597,0.489112597,0.489112597,0,0,0,0,22.14899856,65.62097248,65.62097248,4639126
0.09,0,0.479425945,0.479425945,0.479425945,0.479425945,0.479425945,0,0,0,0,22.14899856,65.62097248,65.62097248,5219018
0.1,0,0.467384985,0.467384985,0.467384985,0.467384985,0.467384985,0,0,0,0,22.14899856,65.62097248,65.62097248,5798908
0.11,0,0.473421873,0.473421873,0.473421873,0.473421873,0.473421873,0,0,0,0,22.14899856,65.62097248,65.62097248,6378799
0.12,0,0.477971587,0.477971587,0.477971587,0.477971587,0.477971587,0,0,0,0,22.14899856,65.62097248,65.62097248,6958690
0.13,0,0.481422826,0.481422826,0.481422826,0.481422826,0.481422826,0,0,0,0,22.14899856,65.62097248,65.62097248,7538580
0.14,0,0.484046005,0.484046005,0.484046005,0.484046005,0.484046005,0,0,0,0,22.14899856,65.62097248,65.62097248,8118472
0.15,0,0.486034202,0.486034202,0.486034202,0.486034202,0.486034202,0,0,0,0,22.14899856,65.62097248,65.62097248,8698362
0.16,0,0.487528399,0.487528399,0.487528399,0.487528399,0.487528399,0,0,0,0,22.14899856,65.62097248,65.62097248,9278253
0.17,0,0.488633516,0.488633516,0.488633516,0.488633516,0.488633516,0,0,0,0,22.14899856,65.62097248,65.62097248,9858144
0.18,0,0.489429003,0.489429003,0.489429003,0.489429003,0.489429003,0,0,0,0,22.14899856,65.62097248,65.62097248,10438040
0.19,0,0.489975808,0.489975808,0.489975808,0.489975808,0.489975808,0,0,0,0,22.14899856,65.62097248,65.62097248,11017920
0.2,0,0.490321362,0.490321362,0.490321362,0.490321362,0.490321362,0,0,0,0,22.14899856,65.62097248,65.62097248,11597820
0.21,0,0.490503034,0.490503034,0.490503034,0.490503034,0.490503034,0,0,0,0,22.14899856,65.62097248,65.62097248,12177710
0.22,0,0.490550467,0.490550467,0.490550467,0.490550467,0.490550467,0,0,0,0,22.14899856,65.62097248,65.62097248,12757600
0.23,0,0.490487439,0.490487439,0.490487439,0.490487439,0.490487439,0,0,0,0,22.14899856,65.62097248,65.62097248,13337490
0.24,0,0.490333242,0.490333242,0.490333242,0.490333242,0.490333242,0,0,0,0,22.14899856,65.62097248,65.62097248,13917380
0.25,0,0.490100105,0.490100105,0.490100105,0.490100105,0.490100105,0,0,0,0,22.14899856,65.62097248,65.62097248,14497270
0.26,0,0.490184163,0.490184163,0.490184163,0.490184163,0.490184163,0,0,0,0,22.14899856,65.62097248,65.62097248,15077160
0.27,0,0.490219392,0.490219392,0.490219392,0.490219392,0.490219392,0,0,0,0,22.14899856,65.62097248,65.62097248,15657050
0.28,0,0.490214083,0.490214083,0.490214083,0.490214083,0.490214083,0,0,0,0,22.14899856,65.62097248,65.62097248,16236940
0.29,0,0.490175133,0.490175133,0.490175133,0.490175133,0.490175133,0,0,0,0,22.14899856,65.62097248,65.62097248,16816830
0.3,0,0.490108286,0.490108286,0.490108286,0.490108286,0.490108286,0,0,0,0,22.14899856,65.62097248,65.62097248,17396720
0.31,0,0.490018386,0.490018386,0.490018386,0.490018386,0.490018386,0,0,0,0,22.14899856,65.62097248,65.62097248,17976620
0.32,0,0.489909507,0.489909507,0.489909507,0.489909507,0.489909507,0,0,0,0,22.14899856,65.62097248,65.62097248,18556510
0.33,0,0.489785179,0.489785179,0.489785179,0.489785179,0.489785179,0,0,0,0,22.14899856,65.62097248,65.62097248,19136400
0.34,0,0.489648269,0.489648269,0.489648269,0.489648269,0.489648269,0,0,0,0,22.14899856,65.62097248,65.62097248,19716290
0.35,0,0.489501286,0.489501286,0.489501286,0.489501286,0.489501286,0,0,0,0,22.14899856,65.62097248,65.62097248,20296180
0.36,0,0.48934638,0.48934638,0.48934638,0.48934638,0.48934638,0,0,0,0,22.14899856,65.62097248,65.62097248,20876070
0.37,0,0.489185348,0.489185348,0.489185348,0.489185348,0.489185348,0,0,0,0,22.14899856,65.62097248,65.62097248,21455960
0.38,0,0.489019771,0.489019771,0.489019771,0.489019771,0.489019771,0,0,0,0,22.14899856,65.62097248,65.62097248,22035850
0.39,0,0.488850982,0.488850982,0.488850982,0.488850982,0.488850982,0,0,0,0,22.14899856,65.62097248,65.62097248,22615740
0.4,0,0.488680133,0.488680133,0.488680133,0.488680133,0.488680133,0,0,0,0,22.14899856,65.62097248,65.62097248,23195630
0.41,0,0.488508161,0.488508161,0.488508161,0.488508161,0.488508161,0,0,0,0,22.14899856,65.62097248,65.62097248,23775520
0.42,0,0.488335969,0.488335969,0.488335969,0.488335969,0.488335969,0,0,0,0,22.14899856,65.62097248,65.62097248,24355410
0.43,0,0.488164227,0.488164227,0.488164227,0.488164227,0.488164227,0,0,0,0,22.14899856,65.62097248,65.62097248,24935310
0.44,0,0.487993624,0.487993624,0.487993624,0.487993624,0.487993624,0,0,0,0,22.14899856,65.62097248,65.62097248,25515200
0.45,0,0.48782465,0.48782465,0.48782465,0.48782465,0.48782465,0,0,0,0,22.14899856,65.62097248,65.62097248,26095090
