velocity,height,K11,K12,K13,K14,K15,K16,K21,K22,K23,K24,K25,K26,K31,K32,K33,K34,K35,K36,K41,K42,K43,K44,K45,K46
0.1,10.0,-5.000000e-01,-2.013775e-14,7.071068e-01,-4.159608e+00,8.921838e-12,1.067648e+01,-5.000000e-01,7.071068e-01,-2.286397e-15,-4.159608e+00,1.067648e+01,1.906900e-12,-5.000000e-01,1.699430e-14,-7.071068e-01,-4.159608e+00,-2.049824e-12,-1.067648e+01,-5.000000e-01,-7.071068e-01,3.678234e-15,-4.159608e+00,-1.067648e+01,-2.075978e-12
0.1,35.0,-5.000000e-01,-1.030658e-14,7.071068e-01,-4.164762e+00,-9.152113e-13,1.070209e+01,-5.000000e-01,7.071068e-01,-1.696405e-14,-4.164762e+00,1.070209e+01,-1.231625e-12,-5.000000e-01,3.658371e-14,-7.071068e-01,-4.164762e+00,1.379833e-12,-1.070209e+01,-5.000000e-01,-7.071068e-01,6.895767e-15,-4.164762e+00,-1.070209e+01,2.961561e-12
0.1,60.0,-5.000000e-01,3.214792e-15,7.071068e-01,-4.169924e+00,-7.718507e-12,1.072777e+01,-5.000000e-01,7.071068e-01,7.171157e-15,-4.169924e+00,1.072777e+01,1.313859e-12,-5.000000e-01,-9.449539e-15,-7.071068e-01,-4.169924e+00,-4.492665e-13,-1.072777e+01,-5.000000e-01,-7.071068e-01,-4.394527e-15,-4.169924e+00,-1.072777e+01,-1.035619e-12
0.1,85.0,-5.000000e-01,6.642850e-15,7.071068e-01,-4.175096e+00,1.593142e-11,1.075353e+01,-5.000000e-01,7.071068e-01,-9.447104e-15,-4.175096e+00,1.075353e+01,1.540193e-12,-5.000000e-01,5.156950e-15,-7.071068e-01,-4.175096e+00,-7.851416e-12,-1.075353e+01,-5.000000e-01,-7.071068e-01,8.750460e-15,-4.175096e+00,-1.075353e+01,-1.705036e-12
0.1,110.0,-5.000000e-01,8.363808e-15,7.071068e-01,-4.180278e+00,3.774850e-12,1.077937e+01,-5.000000e-01,7.071068e-01,-2.577835e-15,-4.180278e+00,1.077937e+01,1.078030e-12,-5.000000e-01,-7.667679e-15,-7.071068e-01,-4.180278e+00,-2.741727e-12,-1.077937e+01,-5.000000e-01,-7.071068e-01,-7.855102e-15,-4.180278e+00,-1.077937e+01,-2.400493e-12
0.1,135.0,-5.000000e-01,3.111263e-15,7.071068e-01,-4.185468e+00,-8.589232e-12,1.080528e+01,-5.000000e-01,7.071068e-01,2.493620e-15,-4.185468e+00,1.080528e+01,-1.337458e-12,-5.000000e-01,-2.284834e-14,-7.071068e-01,-4.185468e+00,-2.973534e-13,-1.080528e+01,-5.000000e-01,-7.071068e-01,6.063273e-15,-4.185468e+00,-1.080528e+01,4.348242e-12
0.1,160.0,-5.000000e-01,1.402559e-14,7.071068e-01,-4.190668e+00,-5.335190e-13,1.083127e+01,-5.000000e-01,7.071068e-01,-7.453738e-15,-4.190668e+00,1.083127e+01,1.327583e-12,-5.000000e-01,-6.324293e-15,-7.071068e-01,-4.190668e+00,-3.212360e-12,-1.083127e+01,-5.000000e-01,-7.071068e-01,-1.807643e-15,-4.190668e+00,-1.083127e+01,-3.956686e-13
0.1,185.0,-5.000000e-01,0.000000e+00,7.071068e-01,-4.195877e+00,5.413243e-12,1.085734e+01,-5.000000e-01,7.071068e-01,5.709286e-16,-4.195877e+00,1.085734e+01,-1.576658e-12,-5.000000e-01,2.999985e-15,-7.071068e-01,-4.195877e+00,-2.062161e-12,-1.085734e+01,-5.000000e-01,-7.071068e-01,-1.351490e-14,-4.195877e+00,-1.085734e+01,2.995212e-12
0.1,210.0,-5.000000e-01,1.011041e-15,7.071068e-01,-4.201095e+00,1.962718e-12,1.088348e+01,-5.000000e-01,7.071068e-01,-1.793626e-16,-4.201095e+00,1.088348e+01,7.341098e-13,-5.000000e-01,-1.451791e-15,-7.071068e-01,-4.201095e+00,-2.118590e-12,-1.088348e+01,-5.000000e-01,-7.071068e-01,2.290322e-15,-4.201095e+00,-1.088348e+01,-6.043975e-13
0.1,235.0,-5.000000e-01,-2.538755e-16,7.071068e-01,-4.206323e+00,-5.652053e-12,1.090970e+01,-5.000000e-01,7.071068e-01,1.291485e-14,-4.206323e+00,1.090970e+01,-8.012600e-13,-5.000000e-01,1.607878e-15,-7.071068e-01,-4.206323e+00,5.144258e-12,-1.090970e+01,-5.000000e-01,-7.071068e-01,-1.103050e-14,-4.206323e+00,-1.090970e+01,7.181550e-13
